entry,n_observed,n_no_gen_no_traj,n_cost_missing,n_missing_traj_has_patch,n_observed_no_patch,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_cost_observed,unresolved_cost_observed,waste_lower,waste_upper,waste_upper_p50,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
20251124_mini-v1.17.0_minimax-m2,500,0,0,0,,305,305,195,214.12808864500002,127.7011065299999,0.5963771840401275,0.5963771840401275,0.5963771840401275,0.702059307032787,0.2833671544754102,0.6548774693846149,2.3110563770066133,305,121.53770491803279
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,500,0,0,0,,300,300,200,14.038151399999999,6.70555942,0.47766684009405974,0.47766684009405974,0.47766684009405974,0.046793838,0.02444197326666666,0.0335277971,1.3717303727569474,300,77.34
20251201_mini-v1.17.1_glm-4.6,500,0,0,0,,277,277,223,48.30503760000002,28.2742494,0.585327137805602,0.585327137805602,0.585327137805602,0.17438641732851992,0.07231331480144412,0.12679035605381164,1.7533473109613222,277,89.07581227436823
20251209_mini-v1.17.2_devstral-2512,500,0,0,0,,269,269,231,338.00356479999977,185.04969600000007,0.5474785335755139,0.5474785335755139,0.5474785335755139,1.2565188282527873,0.5686017427509282,0.8010809350649354,1.4088612025514717,269,139.56505576208178
20251209_mini-v1.17.2_devstral-small-2512,500,0,0,0,,282,282,218,119.0151655,84.72899319999998,0.7119176185996228,0.7119176185996228,0.7119176185996228,0.4220395939716312,0.1215821712765958,0.38866510642201824,3.1967277960336533,282,154.0177304964539
20251210_mini-v1.17.2_kimi-k2-thinking,500,0,0,0,,317,317,183,219.15361769999984,121.88964880000002,0.556183603443203,0.556183603443203,0.556183603443203,0.6913363334384853,0.3068264003154569,0.6660636546448089,2.1708159857170375,317,73.84858044164038
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,500,0,0,0,,345,345,155,134.83374870000014,58.341418799999985,0.4326915135305433,0.4326915135305433,0.4326915135305433,0.3908224600000004,0.22171689826087002,0.37639625032258056,1.6976434961656206,345,23.579710144927535
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,500,0,0,0,,359,359,141,260.1295017999999,108.90085289999999,0.418640915953194,0.418640915953194,0.418640915953194,0.7245947125348187,0.42124971838440084,0.772346474468085,1.8334646665883338,359,27.52367688022284
20260217_mini-v2.0.0_claude-4-5-haiku-high,500,0,0,0,,333,333,167,165.46221804999996,73.63906170000004,0.44505061377666005,0.44505061377666005,0.44505061377666005,0.49688353768768756,0.275745214264264,0.4409524652694613,1.5991300753704787,333,99.33033033033033
20260217_mini-v2.0.0_claude-4-5-opus-high,500,0,0,0,,384,384,116,376.9539984999997,134.7203035,0.3573918940668833,0.3573918940668833,0.3573918940668833,0.981651037760416,0.6308169140624993,1.1613819267241379,1.8410760726829083,384,42.833333333333336
20260217_mini-v2.0.0_claude-4-5-sonnet-high,500,0,0,0,,357,357,143,328.94824920000025,122.34685814999999,0.3719334528988881,0.3719334528988881,0.3719334528988881,0.9214236672268914,0.5787153810924377,0.8555724346153846,1.478399335093402,357,67.6470588235294
20260217_mini-v2.0.0_claude-4-6-opus,500,0,0,0,,378,378,122,275.76132225,107.01144949999996,0.388058225957393,0.388058225957393,0.388058225957393,0.7295273075396825,0.4464282347883598,0.8771430286885242,1.9648018658684419,378,38.26984126984127
20260217_mini-v2.0.0_deepseek-3-2-high,500,0,0,0,,350,350,150,223.92324824999974,90.15488365999995,0.4026151119393654,0.4026151119393654,0.4026151119393654,0.6397807092857135,0.38219532739999945,0.601032557733333,1.572579554601153,350,126.43714285714286
20260217_mini-v2.0.0_gemini-3-flash-high,500,0,0,0,,379,379,121,177.98206540000024,49.05656019999999,0.2756264238745031,0.2756264238745031,0.2756264238745031,0.46960967124010616,0.34017283693931466,0.4054261173553718,1.1918239004712128,379,74.04485488126649
20260217_mini-v2.0.0_glm-5-high,500,0,0,0,,364,364,136,267.19456811000015,112.75053131,0.4219791296939174,0.4219791296939174,0.4219791296939174,0.7340510112912092,0.42429680439560485,0.8290480243382353,1.9539341700185173,364,104.63736263736264
20260217_mini-v2.0.0_gpt-5-2-high,500,0,0,0,,364,364,136,236.78350884999995,90.77376000000002,0.38336183309752503,0.38336183309752503,0.38336183309752503,0.6505041451923076,0.401125683653846,0.667454117647059,1.663952583557434,364,48.14010989010989
20260217_mini-v2.0.0_gpt-5-mini,500,0,0,0,,281,281,219,23.60060954999995,12.84565655000001,0.544293422709501,0.544293422709501,0.544293422709501,0.08398793434163684,0.03827385409252648,0.058655965981735204,1.5325335629888557,281,36.195729537366546
20260217_mini-v2.0.0_kimi-k2-5-high,500,0,0,0,,354,354,146,73.27687037200006,30.649684954,0.4182722979079576,0.4182722979079576,0.4182722979079576,0.20699680896045214,0.12041577801694932,0.20992934900000002,1.7433707812812627,354,72.28531073446328
20260217_mini-v2.0.0_minimax-2-5-high,500,0,0,0,,379,379,121,36.64499392200001,13.810202158,0.3768646322440505,0.3768646322440505,0.3768646322440505,0.09668863831662272,0.06025011019525069,0.1141339021322314,1.8943351599252043,379,79.74934036939314
20260226_mini-v2.0.0_gemini-3-pro-high,500,0,0,0,,0,0,500,480.00992819999993,480.00992819999993,1.0,1.0,1.0,,,0.9600198563999999,,0,
20260901_mini-v2.4.2_gemini-3-5-flash,441,59,441,0,,359,0,0,0.0,0.0,,,,,,,,359,54.35933147632312
