model,n_observed,n_no_gen_no_traj,n_cost_missing,n_missing_traj_has_patch,n_observed_no_patch,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_cost_observed,unresolved_cost_observed,waste_lower,waste_upper,waste_upper_p50,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
claude-opus-4-5-20251101,500,0,0,0,,372,372,128,360.6224984999998,125.89410800000003,0.34910220112071044,0.34910220112071044,0.34910220112071044,0.9694153185483865,0.6309902970430101,0.9835477187500002,1.5587366768699435,372,51.13172043010753
claude-opus-4-6,500,0,0,0,,378,378,122,275.76132225,107.01144949999996,0.388058225957393,0.388058225957393,0.388058225957393,0.7295273075396825,0.4464282347883598,0.8771430286885242,1.9648018658684419,378,38.26984126984127
claude-sonnet-4-5-20250929,1000,0,0,0,,710,710,290,608.1156196500003,223.3901616,0.36734817258693625,0.36734817258693625,0.36734817258693625,0.8565008727464793,0.5418668423239441,0.7703109020689655,1.4215870798908392,710,69.92112676056338
deepseek-v3.2,500,0,0,0,,350,350,150,223.92324824999974,90.15488365999995,0.4026151119393654,0.4026151119393654,0.4026151119393654,0.6397807092857135,0.38219532739999945,0.601032557733333,1.572579554601153,350,126.43714285714286
deepseek-v3.2-reasoner,500,0,0,0,,300,300,200,14.038151399999999,6.70555942,0.47766684009405974,0.47766684009405974,0.47766684009405974,0.046793838,0.02444197326666666,0.0335277971,1.3717303727569474,300,77.34
devstral-2512,500,0,0,0,,269,269,231,338.00356479999977,185.04969600000007,0.5474785335755139,0.5474785335755139,0.5474785335755139,1.2565188282527873,0.5686017427509282,0.8010809350649354,1.4088612025514717,269,139.56505576208178
devstral-small-2512,500,0,0,0,,282,282,218,119.0151655,84.72899319999998,0.7119176185996228,0.7119176185996228,0.7119176185996228,0.4220395939716312,0.1215821712765958,0.38866510642201824,3.1967277960336533,282,154.0177304964539
gemini-2.5-pro,500,0,0,0,,268,268,232,144.1860478125,91.43650500000001,0.6341563999236899,0.6341563999236899,0.6341563999236899,0.5380076410914179,0.19682665228544768,0.3941228663793104,2.002385661712795,268,38.20522388059702
gemini-3-5-flash,441,59,441,0,,359,0,0,0.0,0.0,,,,,,,,359,54.35933147632312
gemini-3-flash-preview,500,0,0,0,,379,379,121,177.98206540000024,49.05656019999999,0.2756264238745031,0.2756264238745031,0.2756264238745031,0.46960967124010616,0.34017283693931466,0.4054261173553718,1.1918239004712128,379,74.04485488126649
gemini-3-pro-preview,1000,0,0,0,,371,371,629,709.988687675,557.877743875,0.78575582056368,0.78575582056368,0.78575582056368,1.9137161392857145,0.4100025439353102,0.8869280506756756,2.163225725778946,371,123.46091644204851
glm-4.6,500,0,0,0,,277,277,223,48.30503760000002,28.2742494,0.585327137805602,0.585327137805602,0.585327137805602,0.17438641732851992,0.07231331480144412,0.12679035605381164,1.7533473109613222,277,89.07581227436823
glm-5,500,0,0,0,,364,364,136,267.19456811000015,112.75053131,0.4219791296939174,0.4219791296939174,0.4219791296939174,0.7340510112912092,0.42429680439560485,0.8290480243382353,1.9539341700185173,364,104.63736263736264
gpt-5-2,500,0,0,0,,364,364,136,236.78350884999995,90.77376000000002,0.38336183309752503,0.38336183309752503,0.38336183309752503,0.6505041451923076,0.401125683653846,0.667454117647059,1.663952583557434,364,48.14010989010989
gpt-5-2025-08-07,500,0,0,0,,325,325,175,140.19150875,68.88027949999997,0.4913298966118729,0.4913298966118729,0.4913298966118729,0.43135848846153846,0.219419166923077,0.393601597142857,1.7938341607178012,325,20.32
gpt-5-mini-2025-08-07,1000,0,0,0,,580,580,420,41.33914319999995,22.086605950000013,0.5342782709149143,0.5342782709149143,0.5342782709149143,0.07127438482758612,0.03319402974137921,0.052587157023809554,1.584235401170806,580,30.00689655172414
gpt-5-nano-2025-08-07,500,0,0,0,,174,174,326,19.037590390000002,16.619349539999998,0.8729754763885325,0.8729754763885325,0.8729754763885325,0.10941143902298851,0.013897935919540251,0.05097959981595091,3.668141809768636,174,114.25287356321839
gpt-5.1-2025-11-13,500,0,0,0,,330,330,170,153.07773624999993,80.558819,0.5262608461130809,0.5262608461130809,0.5262608461130809,0.4638719280303028,0.2197542946969695,0.47387540588235294,2.1563874623510957,330,31.818181818181817
gpt-5.1-codex,500,0,0,0,,330,330,170,294.4411749999999,172.43119999999996,0.5856218988393863,0.5856218988393863,0.5856218988393863,0.8922459848484845,0.3697271969696967,1.014301176470588,2.7433772380929864,330,36.18484848484849
gpt-5.2-2025-12-11,1000,0,0,0,,704,704,296,394.9632505000001,167.24227169999997,0.4234375514387254,0.4234375514387254,0.4234375514387254,0.5610273444602274,0.32346729943181834,0.5650076746621621,1.7467227001141008,704,25.59090909090909
gpt-oss-120b,500,0,0,0,,130,130,370,28.559527900000013,24.1424784,0.8453388474954444,0.8453388474954444,0.8453388474954444,0.21968867615384627,0.03397730384615394,0.06524994162162162,1.920397860791641,130,106.14615384615385
kimi-k2.5,500,0,0,0,,354,354,146,73.27687037200006,30.649684954,0.4182722979079576,0.4182722979079576,0.4182722979079576,0.20699680896045214,0.12041577801694932,0.20992934900000002,1.7433707812812627,354,72.28531073446328
llama-4-maverick-instruct,500,0,0,0,,105,105,395,156.85304880000004,152.31220530000007,0.9710503331956913,0.9710503331956913,0.9710503331956913,1.4938385600000004,0.04324612857142825,0.3856005197468356,8.916417087137674,105,228.93333333333334
minimax-m2,500,0,0,0,,305,305,195,214.12808864500002,127.7011065299999,0.5963771840401275,0.5963771840401275,0.5963771840401275,0.702059307032787,0.2833671544754102,0.6548774693846149,2.3110563770066133,305,121.53770491803279
minimax-m2.5,500,0,0,0,,379,379,121,36.64499392200001,13.810202158,0.3768646322440505,0.3768646322440505,0.3768646322440505,0.09668863831662272,0.06025011019525069,0.1141339021322314,1.8943351599252043,379,79.74934036939314
o3-20250416,500,0,0,0,,292,292,208,166.826374,92.12852999999994,0.5522419974194245,0.5522419974194245,0.5522419974194245,0.5713231986301369,0.2558145342465755,0.4429256249999997,1.7314326033292182,292,42.29109589041096
o4-mini-20250416,500,0,0,0,,225,225,275,104.98666640000002,75.24365529999997,0.7166972519474145,0.7166972519474145,0.7166972519474145,0.4666074062222223,0.13219116044444465,0.2736132919999999,2.069830471871756,225,51.72888888888889
