entry,model,mini_version,total_cost_observed,n_resolved_observed,n_resolved_priced,n_unresolved_priced,total_spend_per_resolved_instance,cost_per_resolved_instance,cost_per_unresolved_instance,unresolved_resolved_cost_ratio,n_resolved_calls_measured,calls_per_resolved_instance
20250807_mini-v1.7.0_gpt-5-mini,gpt-5-mini-2025-08-07,1.7.0,17.738533649999997,299,299,201,0.05932619949832775,0.0284200142140468,0.04597487263681594,1.6176935131190935,299,24.190635451505017
20250807_mini-v1.7.0_gpt-5-nano,gpt-5-nano-2025-08-07,1.7.0,19.037590390000002,174,174,326,0.10941143902298851,0.013897935919540251,0.05097959981595091,3.668141809768636,174,114.25287356321839
20250807_mini-v1.7.0_gpt-oss-120b,gpt-oss-120b,1.7.0,28.559527900000013,130,130,370,0.21968867615384627,0.03397730384615394,0.06524994162162162,1.920397860791641,130,106.14615384615385
20250807_mini-v1.7.0_kimi-k2-instruct,Kimi-K2-Instruct,1.7.0,265.796683,219,219,281,1.2136834840182646,0.31571480821917774,0.6998403558718863,2.216685241403179,219,85.662100456621
20250822_mini-v1.9.1_glm-4.5,GLM-4.5,1.9.1,148.59517440000016,271,271,229,0.5483216767527681,0.20981563690036947,0.40059011703056785,1.9092481520850004,271,74.2140221402214
20250929_mini-v1.13.3_sonnet-4-5-20250929,claude-sonnet-4-5-20250929,1.13.3,279.1673704500001,353,353,147,0.790842409206799,0.5046007563739379,0.6873694112244899,1.362204480555931,353,72.22096317280453
20251118_mini-v1.15.0_gemini-3-pro-preview-20251118,gemini-3-pro-preview,1.15.0,229.97875947500012,371,371,129,0.6198888395552564,0.4100025439353102,0.6036264781007754,1.4722505677818793,371,54.34770889487871
20251120_mini-v1.15.0_gpt-5.1-2025-11-13,gpt-5.1-2025-11-13,1.15.0,153.07773624999993,330,330,170,0.4638719280303028,0.2197542946969695,0.47387540588235294,2.1563874623510957,330,31.818181818181817
20251124_mini-v1.16.0_claude-opus-4-5-20251101,claude-opus-4-5-20251101,1.16.0,360.6224984999998,372,372,128,0.9694153185483865,0.6309902970430101,0.9835477187500002,1.5587366768699435,372,51.13172043010753
20251124_mini-v1.16.0_gpt-5.1-codex,gpt-5.1-codex,1.16.0,294.4411749999999,330,330,170,0.8922459848484845,0.3697271969696967,1.014301176470588,2.7433772380929864,330,36.18484848484849
20251124_mini-v1.17.0_minimax-m2,minimax-m2,1.17.0,214.12808864500002,305,305,195,0.702059307032787,0.2833671544754102,0.6548774693846149,2.3110563770066133,305,121.53770491803279
20251201_mini-v1.17.1_deepseek-v3.2-reasoner,deepseek-v3.2-reasoner,1.17.1,14.038151399999999,300,300,200,0.046793838,0.02444197326666666,0.0335277971,1.3717303727569474,300,77.34
20251201_mini-v1.17.1_glm-4.6,glm-4.6,1.17.1,48.30503760000002,277,277,223,0.17438641732851992,0.07231331480144412,0.12679035605381164,1.7533473109613222,277,89.07581227436823
20251209_mini-v1.17.2_devstral-2512,devstral-2512,1.17.2,338.00356479999977,269,269,231,1.2565188282527873,0.5686017427509282,0.8010809350649354,1.4088612025514717,269,139.56505576208178
20251209_mini-v1.17.2_devstral-small-2512,devstral-small-2512,1.17.2,119.0151655,282,282,218,0.4220395939716312,0.1215821712765958,0.38866510642201824,3.1967277960336533,282,154.0177304964539
20251210_mini-v1.17.2_kimi-k2-thinking,Kimi-K2-Thinking,1.17.2,219.15361769999984,317,317,183,0.6913363334384853,0.3068264003154569,0.6660636546448089,2.1708159857170375,317,73.84858044164038
20251211_mini-v1.17.2_gpt-5.2-2025-12-11,gpt-5.2-2025-12-11,1.17.2,134.83374870000014,345,345,155,0.3908224600000004,0.22171689826087002,0.37639625032258056,1.6976434961656206,345,23.579710144927535
20251211_mini-v1.17.2_gpt-5.2-2025-12-11-high,gpt-5.2-2025-12-11,1.17.2,260.1295017999999,359,359,141,0.7245947125348187,0.42124971838440084,0.772346474468085,1.8334646665883338,359,27.52367688022284
20260217_mini-v2.0.0_claude-4-5-haiku-high,claude-haiku-4-5-20251001,2.0.0,165.46221804999996,333,333,167,0.49688353768768756,0.275745214264264,0.4409524652694613,1.5991300753704787,333,99.33033033033033
20260217_mini-v2.0.0_claude-4-5-opus-high,claude-4-5-opus,2.0.0,376.9539984999997,384,384,116,0.981651037760416,0.6308169140624993,1.1613819267241379,1.8410760726829083,384,42.833333333333336
20260217_mini-v2.0.0_claude-4-5-sonnet-high,claude-sonnet-4-5-20250929,2.0.0,328.94824920000025,357,357,143,0.9214236672268914,0.5787153810924377,0.8555724346153846,1.478399335093402,357,67.6470588235294
20260217_mini-v2.0.0_claude-4-6-opus,claude-opus-4-6,2.0.0,275.76132225,378,378,122,0.7295273075396825,0.4464282347883598,0.8771430286885242,1.9648018658684419,378,38.26984126984127
20260217_mini-v2.0.0_deepseek-3-2-high,deepseek-v3.2,2.0.0,223.92324824999974,350,350,150,0.6397807092857135,0.38219532739999945,0.601032557733333,1.572579554601153,350,126.43714285714286
20260217_mini-v2.0.0_gemini-3-flash-high,gemini-3-flash-preview,2.0.0,177.98206540000024,379,379,121,0.46960967124010616,0.34017283693931466,0.4054261173553718,1.1918239004712128,379,74.04485488126649
20260217_mini-v2.0.0_glm-5-high,glm-5,2.0.0,267.19456811000015,364,364,136,0.7340510112912092,0.42429680439560485,0.8290480243382353,1.9539341700185173,364,104.63736263736264
20260217_mini-v2.0.0_gpt-5-2-high,gpt-5-2,2.0.0,236.78350884999995,364,364,136,0.6505041451923076,0.401125683653846,0.667454117647059,1.663952583557434,364,48.14010989010989
20260217_mini-v2.0.0_gpt-5-mini,gpt-5-mini-2025-08-07,2.0.0,23.60060954999995,281,281,219,0.08398793434163684,0.03827385409252648,0.058655965981735204,1.5325335629888557,281,36.195729537366546
20260217_mini-v2.0.0_kimi-k2-5-high,kimi-k2.5,2.0.0,73.27687037200006,354,354,146,0.20699680896045214,0.12041577801694932,0.20992934900000002,1.7433707812812627,354,72.28531073446328
20260217_mini-v2.0.0_minimax-2-5-high,minimax-m2.5,2.0.0,36.64499392200001,379,379,121,0.09668863831662272,0.06025011019525069,0.1141339021322314,1.8943351599252043,379,79.74934036939314
20260226_mini-v2.0.0_gemini-3-pro-high,gemini-3-pro-preview,2.0.0,480.00992819999993,0,0,500,,,0.9600198563999999,,0,
20260901_mini-v2.4.2_gemini-3-5-flash,gemini-3-5-flash,2.4.2,0.0,359,0,0,,,,,359,54.35933147632312
